sample_id,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,03_mgL,02_mgL,Number.Days.Since.Precip,pH,Precipitation.Within.Week,Primary.Sources.Flow.Variation,Sediment,SO4_mgL,Stream_Order,Temp_degC,altS,MAT,MAP,cluster
SW_S19S.0043_U_2,37.82,1,NA,NA,0.1,17,1,1,46.8,0.04,,7.5,0,5,3,25.12,3,15.7,262,7.7,799,sw_0
SW_S19S.0043_U_3,36.76,1,NA,NA,0.1,17,1,1,50.78,0.04,,7.5,0,5,3,23.48,3,15.7,262,7.7,799,sw_2
SW_S19S.0044_U_1,7.5,1,-3.68,-20.9,0.05,8,1,1,0.4,0.04,1,6,1,17,3,4.68,3,24,6,18.1,1268,sw_0
SW_S19S.0044_U_2,7.54,1,NA,NA,0.05,8,1,1,0.21,0.04,1,6,1,17,3,4.45,3,24,6,18.1,1268,sw_2
SW_S19S.0044_U_3,7.64,1,NA,NA,0.06,8,1,1,1.31,0.04,1,6,1,17,3,4.64,3,24,6,18.1,1268,sw_2
SW_S19S.0045_U_1,96.69,1,-8.12,-58.8,0.12,2,2,1,32.71,0.29,3,7.7,1,19,2,121.39,,20.4,46,9.1,549,sw_0
SW_S19S.0045_U_2,105.05,1,NA,NA,0.16,2,2,1,32.99,0.29,3,7.7,1,19,2,132.65,,20.4,46,9.1,549,sw_0
SW_S19S.0045_U_3,95.96,1,NA,NA,0.13,2,2,1,32.79,0.27,3,7.7,1,19,2,120.28,,20.4,46,9.1,549,sw_0
SW_S19S.0047_U_1,0.16,1,-17.38,-134.8,0.05,16,1,1,0.12,0.04,0,6.5,1,5,1,33.61,,8.5,750,-11.4,225,sw_2
SW_S19S.0047_U_2,0.16,1,NA,NA,0.04,16,1,1,0.12,0.04,0,6.5,1,5,1,18.9,,8.5,750,-11.4,225,sw_2
